runcat,eta,V,maxFlux,medFlux,avgFlux,coord_datapoints,newSource,RA,RA_err,Dec,Dec_err
10494,2.60054770378898,0.0915143246623192,0.00129501616644197,0.00109199712696021,0.00109319887824093,166,N,256.012289610215,0.000107862403955434,-48.4313340684386,0.000107862403955434
10495,0.47744688192526,0.153159286298863,0.000392315712414986,0.000284533379321895,0.000283376062762985,66,N,256.015200427697,0.000171935744987219,-48.7189869192122,0.000171935744987219
10496,2.76652059710719,0.062670888304465,0.00233997232926714,0.00190634183577564,0.00192175534020263,166,N,256.016831335317,0.000107822058730812,-48.9721973262386,0.000107822058730812
10497,0.664463392355066,0.0624445733103532,0.00112279974863044,0.000901444935132021,0.000904678738261398,166,N,256.016690254236,0.000107884642930773,-48.539947046894,0.000107884642930773
10498,0.35801920084264,0.0949631189793931,0.000468300758977746,0.000378473801098405,0.000378348502499842,151,N,256.034554367206,0.000113485557231248,-48.258001923516,0.000113485557231248
10499,0.331942617587421,0.187334137709861,0.00031827778783032,0.00019933753758355,0.000200812907855074,5,N,256.045243492808,0.000624456684077782,-48.8607687245251,0.000624456684077782
10500,0.339079212556437,0.145902954384766,0.000344783258337218,0.0002366395185807,0.000236999048148768,15,N,256.051752375141,0.000360716121170349,-49.2953568111762,0.000360716121170349
10501,0.449838151283617,0.168329031411892,0.000347491380328251,0.000241472752905885,0.000239642445531799,26,N,256.057132012474,0.000274004212798649,-48.414091392147,0.000274004212798649
10502,1.42738850808375,0.0663264085859527,0.00160003315365006,0.00124966272639236,0.00125671690819892,166,N,256.062296552118,0.000107845151856006,-49.2635162990608,0.000107845151856006
10503,0.392887439862569,0.0854616326860985,0.000555459474867186,0.000458705241560319,0.000458194890580165,156,N,256.059322447918,0.000111550025459728,-48.8647350849403,0.000111550025459728
10504,0.423197454998048,0.113337039062424,0.000480342096055894,0.000361740616250821,0.000358740138922061,141,N,256.067770151699,0.000117501570867196,-48.7795968543518,0.000117501570867196
10505,0.603696498852975,0.0719305424112372,0.000872323639709474,0.000713979995653487,0.000712682817351623,166,N,256.073227907136,0.000107940951784888,-49.2346934720931,0.000107940951784888
10506,0.271355373843442,0.213001333065645,0.000342556378224323,0.000203272918778466,0.000197195374340247,1,N,256.081662506294,0.00139352588664506,-48.9964051922712,0.00139352588664506
10507,35.23092789978,0.055093564983275,0.00870309399747364,0.00765329180236768,0.00766127998968727,166,N,256.082109740169,0.000107800063067187,-48.6721294763594,0.000107800063067187
10508,0.539526185795383,0.0812212823959178,0.000649183926713482,0.000538191478327597,0.000539413858288265,165,N,256.080063904785,0.000108358387843279,-48.2204639868142,0.000108358387843279
10509,0.648298843317096,0.0724159904894154,0.000926354069915374,0.000716044984998806,0.000722736342136795,165,N,256.087267089898,0.000108261282796649,-49.2669649889967,0.000108261282796649
10510,0.478459145452831,0.142854859702211,0.000427832007035027,0.000307454379489469,0.000308823940841541,92,N,256.091398242726,0.000145543440647842,-49.3018987751781,0.000145543440647842
10511,0.258472735452517,0.193021715355616,0.000286776357353238,0.000178931395160527,0.000179279468433715,1,N,256.090810202009,0.00139378112768197,-49.0907935585346,0.00139378112768197
10512,0.404018514715189,0.125350060227366,0.000402242793477345,0.000312614494625241,0.000312255461175993,105,N,256.086107629522,0.000136225279765397,-48.1737065445659,0.000136225279765397
10513,525.908247795798,0.0519022552005698,0.0521303632455382,0.0454916889736779,0.0456323607561552,166,N,256.090539637053,0.000107798765717635,-49.0161485844335,0.000107798765717635
10514,0.276672328337354,0.163298326883257,0.00026164140199275,0.000195770988102994,0.00019489690393346,1,N,256.097511468033,0.00139449900398745,-48.6922093828143,0.00139449900398745
10515,1.58024912902995,0.0748342872477519,0.00199439449794333,0.00162468164713876,0.00162335871400302,165,N,256.100021773504,0.000108187819405393,-49.020421881453,0.000108187819405393
10516,0.516673448693958,0.141864377743531,0.00043602125902774,0.000315084410009729,0.000318915116712713,107,N,256.104563467626,0.00013495389541438,-49.13601546989,0.00013495389541438
10517,0.250975374858771,0.171091085186049,0.000280661874326564,0.000172435902249524,0.00017378965865899,1,N,256.112834712836,0.00139397775693178,-49.3691022150403,0.00139397775693178
10518,0.352614615191697,0.145083429390936,0.000342605583585862,0.000255294592579236,0.00025241594350966,19,N,256.115204630146,0.000320346261941347,-48.9260320038086,0.000320346261941347
10519,0.789093242917781,0.185139083577041,0.000415753069931559,0.000287251513319564,0.000286768808104403,47,N,256.126591741452,0.000203556052698025,-49.6191197946537,0.000203556052698025
10520,0.687574380124775,0.110095669319492,0.000559522238351136,0.000451351923923771,0.000450099894434321,150,N,256.120032516939,0.000113794710499929,-48.104598318144,0.000113794710499929
10521,0.291719849528406,0.172167487659229,0.000273236999507364,0.00018730392401801,0.000187316985880449,3,N,256.130678149286,0.000806136016274642,-49.3161351182762,0.000806136016274642
10522,0.528961146265808,0.200131484478578,0.000321613640878954,0.000219388674414904,0.000219268607412184,4,N,256.122946831284,0.000710582282962235,-48.1021843050771,0.000710582282962235
10523,0.582464423029547,0.0670503537716193,0.000825980731355006,0.000686742071506526,0.000693074140288472,166,N,256.124481255825,0.000107943152238196,-48.3292151119846,0.000107943152238196
10524,0.465174791552801,0.127393776002929,0.000512376796929586,0.000377364094201394,0.00037511353021062,118,N,256.133659158228,0.000128472759775958,-48.9939901141689,0.000128472759775958
10525,9.25172856873257,0.200762775368818,0.00248432176169594,0.00121977816410898,0.00125548188918528,166,N,256.139518168644,0.000107858479894126,-49.9412463535095,0.000107858479894126
10526,0.465705026781869,0.189839574848889,0.000348616504093338,0.000211918549861526,0.000215322008824747,12,N,256.134835909254,0.000403416177487968,-48.2410299841661,0.000403416177487968
10527,0.410872961989524,0.103111723998735,0.000562538338422709,0.000395722219919024,0.000399309737842023,154,N,256.137719868109,0.00011235879075696,-48.5468318878439,0.00011235879075696
10528,0.33309229730637,0.148685834385381,0.000327645952270948,0.000225933501815181,0.000226987379521867,12,N,256.13797247907,0.000403047680940849,-48.4743267846122,0.000403047680940849
10529,54.6019658661722,0.0611598597308527,0.0125738694742169,0.0106788215666564,0.0106704313422836,166,N,256.135428441877,0.000107855913701828,-48.5982588036211,0.000107855913701828
10530,0.53607883039005,0.0920571998295231,0.000573101291931174,0.00047429243464041,0.000475533518437148,164,N,256.138166603454,0.000108760918977944,-48.2734378013321,0.000108760918977944
10531,6.26769516410985,0.0876561967015058,0.00227698961717423,0.00183137851603241,0.00183149827156396,166,N,256.149876562661,0.000107821304897962,-49.4211555803189,0.000107821304897962
10532,0.383988270367541,0.0997738903733302,0.000504886839007307,0.000392863137688474,0.000392793435756808,151,N,256.147013740776,0.000113492592697099,-48.692452566408,0.000113492592697099
10533,11.7542577356063,0.0520049484588685,0.00581518472339089,0.00506621360598371,0.00508501962554499,166,N,256.146480303253,0.000107802003468125,-48.5818029946235,0.000107802003468125
10534,0.362743986359085,0.19970560887848,0.000307031112039813,0.000203151952019396,0.000204207162253941,3,N,256.153984044076,0.000805422014907442,-49.0120306667536,0.000805422014907442
10535,7.77676190186532,0.0735677915479166,0.00303969703087625,0.0025600581824305,0.00254490570517064,166,N,256.15605983978,0.0001078219132946,-48.6907170202725,0.0001078219132946
10536,3.72023193793872,0.063949488556143,0.00262188342716099,0.00222082977217554,0.00223430426554531,166,N,256.159318801595,0.000107920103132231,-48.784025434794,0.000107920103132231
