,runcat,date_obs,medianFlux(mJy),eta,V,maxFlux,medFlux,avgFlux,coord_datapoints,newSource,RA_y,RA_err,Dec_y,Dec_err,Notes
58,232,2021-06-12T23:41:27.800,1.63360648465181,2.44127044289183,0.0355618065708058,0.0017315484790774,0.0016336064846518,0.0016330111686108,28,N,270.933691302869,0.000262505743252,-29.950931974238,0.000262505743252,
60,343,2021-06-12T23:41:27.800,2.0009693253861545,3.81453282496661,0.0338468064909691,0.002122645157304,0.0020009693253861,0.0020053826724582,28,N,270.680734709565,0.000262492405001,-29.4664813500882,0.000262492405001,
61,332,2021-05-07T02:57:47.000,2.4053617580472153,3.50003158549731,0.0287631212621809,0.0025585545813638,0.0024053617580472,0.0024288352022421,28,N,270.699199119457,0.0002624884007549,-29.5613349152688,0.0002624884007549,
64,70,2021-06-12T23:41:27.800,6.1992861608172145,20.9325772791311,0.0305430518225238,0.0067899976548588,0.0061992861608172,0.0062414685494809,28,N,271.382755080758,0.000262477786796,-30.4113438081367,0.000262477786796,
65,51,2021-05-07T02:57:47.000,8.023459821092532,11.8574665773733,0.0174201509219565,0.0083216785404572,0.0080234598210925,0.0080378287419076,28,N,271.424026544992,0.0002624768091392,-30.1436731320728,0.0002624768091392,same shape?
69,433,2021-06-19T22:31:33.900,1.882148545556675,8.5088096455652,0.0538834676947095,0.0020295689484648,0.0018821485455566,0.0018712644012289,28,N,270.539017260683,0.0002624951693673,-29.6370852751803,0.0002624951693673,
70,408,2021-07-12T01:07:26.300,4.764849300038475,20.017069052833,0.0340054795719867,0.0051745805815397,0.0047648493000384,0.004797529861582,28,N,270.580202437325,0.0002624784846131,-30.2403367873713,0.0002624784846131,extended?
71,422,2021-09-05T17:19:57.000,3.03772057073893,1.82832824145899,0.0163080790407078,0.0031109106341503,0.0030377205707389,0.0030318680947546,28,N,270.559185775207,0.0002624836915893,-29.4667325793578,0.0002624836915893,
72,146,2021-06-19T22:31:33.900,6.2388972664637246,36.7464617578423,0.0388187935514918,0.0068256210630893,0.0062388972664637,0.0062787467071565,28,N,271.167478101087,0.0002624776132263,-29.1887983361074,0.0002624776132263,
74,309,2021-05-15T22:24:22.000,0.0723138223143031,13026.8780527907,2.38377953051186,0.0206610162518294,7.23138223143031e-05,0.0017828582814279,11,N,270.761616912533,0.0004191980431386,-29.8301445368433,0.0004191980431386,MAXIJ1803 itself
