,RA,DEC,Sep(arcsec),mag_q,err_mag_q
35,284.8116285,-8.672504597,1.867311532,17.76964378,0.017972331
36,274.9803044,7.738512516,0,22.03642577,99
37,275.1263867,7.338260677,0,17.26648033,0.008475251
38,207.3075247,-62.92222482,0,21.16180342,99
39,207.5692138,-63.67576955,0,23.01328581,99
40,207.0553407,-63.27331751,0.666382356,19.83522797,0.032858532
41,207.0536946,-63.27440012,1.129002483,16.98828316,0.00706085
42,207.9934299,-63.69243345,0,23.11536139,99
43,284.6193402,-7.956474217,0,21.16598815,99
44,284.8768162,-8.090653821,0,20.98005026,99
45,235.4817931,-47.815483,0,21.43817443,99
46,235.6269574,-47.46770925,0,20.94409484,99
47,236.9742248,-48.0851389,0,21.64968604,99
48,236.9076266,-47.14662626,0,20.9639141,99
49,236.5009835,-47.87919503,0,21.42182082,99
50,235.8313608,-47.51569052,0,19.11771886,0.072147119
51,235.6499238,-47.57548124,0,20.53937071,99
52,237.9459496,-47.94493758,1.168736061,19.89214134,0.06996157
53,237.3179891,-48.06818166,0,21.78832739,99
54,237.2439501,-48.08625739,0,21.74749106,99
55,237.2607237,-47.2166613,0,20.95411414,99
56,237.2070904,-47.7119038,0,21.97018927,99
57,274.8825789,7.940412785,0,22.0480358,99
58,274.5882901,7.085050606,0,22.93529051,99
59,274.6093492,6.771328879,0,23.17229193,99
60,254.710365,-48.8770313,0,22.72733611,99
61,255.364304,-48.96950397,0,23.2409355,99
62,256.9877084,-48.97198161,1.905483052,20.0176506,0.083861783
63,256.4430122,-48.80619416,0,22.95678252,99
64,255.4235121,-48.77615685,0,23.25323981,99
65,255.1562874,-48.94621947,0,23.08474082,99
66,255.6337783,-48.85026589,0,23.49595946,99
67,255.2913699,-48.59738027,0,21.33248568,0.100166137
68,255.1170981,-48.42855196,0,23.30593604,99
69,255.9173774,-48.66954512,0,23.35631293,99
70,255.7055908,-48.78963893,0.555648524,17.611166,0.0097102
71,255.983073,-48.93225135,0,23.33862227,99
72,255.5572117,-48.56032264,0,17.66119861,0.010415609
73,255.4408931,-48.67484713,0,23.33020133,99
74,255.3686785,-48.49864009,0,23.29179114,99
75,266.5650466,-32.23403722,0,22.66665572,99
76,270.7234769,-29.52491294,0,22.07833022,99
77,270.4241909,-29.80091763,0,17.64539927,0.012629296
78,271.3738103,-30.12010987,0.287074177,18.24437523,0.015968313
79,271.2248743,-29.74007238,0,22.33084029,99
80,270.6871816,-30.53360997,0,21.37300032,99
81,271.0286188,-30.29301344,0,21.28645629,99
82,270.9336913,-29.95093197,1.941569056,16.69028282,0.006914218
83,270.6807347,-29.46648135,0,22.47653502,99
84,270.6991991,-29.56133492,1.468046943,17.18780899,0.008870544
85,271.3827551,-30.41134381,0,20.7326023,99
86,271.4240265,-30.14367313,0,21.90825957,99
87,272.6031626,-36.43384049,0,21.91488379,99
88,282.0983156,-1.399542476,0,21.63482016,99
89,282.2077963,-1.496864477,0,20.65040578,0.172992868
90,282.2071283,-1.498915115,0,21.52260512,99
91,282.0797193,-1.679121018,0,21.67171019,99
92,282.3212307,-3.065442638,0,22.12088698,99
93,282.3148978,-2.990445045,1.738739466,21.43665886,0.197156459
94,288.9644419,10.94027567,0,22.35446471,99
95,289.0840035,10.83643453,0,22.35403556,99
96,288.798172,10.94586916,0,22.2991516,99
97,288.4001574,10.35421651,0,21.42023772,99
98,284.5231476,-9.10580138,0,22.80399436,99
99,284.5244015,-7.906791536,0,21.08276099,99
100,285.1443034,-8.77413602,0,21.38000792,99
101,275.2352733,6.441680353,0,23.05846137,99
102,266.1510188,-32.56422917,0,22.73188895,99
103,266.6709035,-32.23431406,1.192827227,15.73438168,0.003959949
104,266.7607798,-32.82828615,1.692752843,21.44436836,0.143027201
105,266.1267447,-32.06037954,0,22.77817649,99
106,275.5060724,7.479955992,0,21.90572089,99
107,270.5390173,-29.63708528,0,22.47775763,99
108,270.5802024,-30.24033679,0.629523288,15.86548519,0.004351646
109,270.5591858,-29.46673258,0,19.5569307,0.052826148
110,270.7616169,-29.83014454,0,21.50447577,99
111,270.3993037,-29.92256564,0,22.44703597,99
112,271.1674781,-29.18879834,0,22.01647299,99
113,270.8326195,-29.28893709,0,22.12833708,99
114,271.5452265,-30.14062751,0,19.22294512,0.054664397
115,270.6496249,-29.85219427,0,21.90971297,99
116,270.4883133,-30.02194914,0.621924262,17.67129326,0.011853526
117,272.5170791,-37.48804927,0.633440688,19.11025238,0.024098707
118,271.2483673,-37.24736369,0,21.90413789,0.317098628
119,272.8599775,-37.1990625,0,22.75614852,99
120,272.2068426,-37.40344781,0,22.39340323,99
121,273.0227998,-36.56814267,0,17.06209305,0.011310014
122,274.9547424,7.5117465,0,20.40078809,0.057595308
123,274.5484365,7.18784026,0.840147263,20.55169487,0.05121813
