RA,DEC,Halpha,err_Halpha,Distance,xi,err_xi,sm,err_sm,m,err_m,t0,err_t0,rms1yr,err_rms1yr,theta_r,err_theta_r,nu0,fzero
237.7741667,-47.16641747,16.15625,2.8125,2.656646715,82.77700647,8.645954289,0.003283422,0.000571582,0.229454596,0.007988748,0.458525356,0.047892397,0.229454596,0.007988748,1.01E-07,6.05E-07,17.19460378,1.22E-09
237.8161432,-47.73154262,16.5546875,2.859375,2.901140866,87.77593101,9.096552507,0.003364397,0.000581109,0.225013298,0.007772994,0.508096953,0.052656014,0.225013298,0.007772994,1.03E-07,6.09E-07,17.79803426,1.17E-09
236.9742248,-48.0851389,14.55859375,2.65625,2.856176824,80.63111578,8.826803778,0.002958732,0.000539828,0.231472344,0.008446536,0.463107648,0.050697058,0.231472344,0.008446536,9.50E-08,5.96E-07,16.93098137,1.18E-09
236.9076266,-47.14662626,14.390625,2.640625,2.480535889,74.62065512,8.21556464,0.002924596,0.000536652,0.237527363,0.008717074,0.399409649,0.043974095,0.237527363,0.008717074,9.44E-08,5.95E-07,16.17676755,1.26E-09
237.4125165,-47.32364521,15.9140625,2.796875,2.640911221,81.78694632,8.624368034,0.003234203,0.000568407,0.230376761,0.008097682,0.451697443,0.047631134,0.230376761,0.008097682,1.00E-07,6.06E-07,17.07332975,1.23E-09
237.9459496,-47.94493758,17.671875,2.96875,3.036229283,93.38460923,9.412771338,0.003591442,0.000603337,0.220415212,0.007405639,0.553005341,0.055740586,0.220415212,0.007405639,1.07E-07,6.16E-07,18.45846054,1.14E-09
237.3179891,-48.06818166,16.34375,2.828125,2.931900425,87.56369862,9.091220366,0.003321528,0.000574758,0.225194943,0.007793553,0.509548402,0.052903394,0.225194943,0.007793553,1.02E-07,6.06E-07,17.77270634,1.16E-09
235.6269574,-47.46770925,12.8671875,2.484375,2.366122197,68.14707531,7.894633149,0.002614989,0.000504898,0.244822273,0.009453974,0.35624809,0.041270267,0.244822273,0.009453974,8.82E-08,5.86E-07,15.33586707,1.29E-09
236.5009835,-47.87919503,12.66796875,2.46875,2.666659508,71.67150177,8.380460628,0.002574502,0.000501722,0.240741613,0.009383207,0.397756262,0.046509151,0.240741613,0.009383207,8.74E-08,5.86E-07,15.7975684,1.22E-09
235.8313608,-47.51569052,13.98828125,2.59375,2.414575794,72.3798241,8.052534105,0.002842828,0.000527126,0.239953723,0.008898592,0.382229923,0.042524551,0.239953723,0.008898592,9.28E-08,5.91E-07,15.88922269,1.28E-09
237.2439501,-48.08625739,16.1953125,2.8125,2.921877353,86.93668329,9.0585263,0.003291361,0.000571582,0.22573504,0.007840291,0.505034209,0.052622961,0.22573504,0.007840291,1.01E-07,6.05E-07,17.69773398,1.17E-09
237.2607237,-47.2166613,14.74609375,2.671875,2.571118536,77.09135538,8.381004909,0.002996837,0.000543003,0.234962258,0.008514659,0.420100762,0.045671354,0.234962258,0.008514659,9.57E-08,5.96E-07,16.48972253,1.24E-09
237.2070904,-47.7119038,15.5859375,2.765625,2.749924204,82.42113485,8.77506228,0.003167518,0.000562056,0.229784362,0.008154753,0.464499969,0.049453531,0.229784362,0.008154753,9.90E-08,6.04E-07,17.15108128,1.20E-09
235.6499238,-47.57548124,13.65625,2.5625,2.403636732,71.18225299,8.014112341,0.002775349,0.000520775,0.241291908,0.009055349,0.375053207,0.042225673,0.241291908,0.009055349,9.14E-08,5.90E-07,15.73404535,1.28E-09
235.4817931,-47.815483,15.0703125,2.703125,2.45363544,76.29864581,8.211300688,0.003062728,0.000549354,0.235773174,0.008458011,0.406170695,0.043712305,0.235773174,0.008458011,9.70E-08,5.98E-07,16.38976782,1.27E-09
