subject_id,workflow_id,task,reducer,data.stable,data.unsure,data.extended-blob,data.aggregation_version,data.transient-variable,data.artefact
70785442,19109,T0,question_reducer,2.0,1.0,6.0,3.6.0,1.0,
70785443,19109,T0,question_reducer,5.0,,4.0,3.6.0,,1.0
70785444,19109,T0,question_reducer,4.0,1.0,2.0,3.6.0,2.0,1.0
70785445,19109,T0,question_reducer,1.0,1.0,5.0,3.6.0,1.0,2.0
70785446,19109,T0,question_reducer,7.0,1.0,1.0,3.6.0,,1.0
70785447,19109,T0,question_reducer,8.0,1.0,1.0,3.6.0,,
70785448,19109,T0,question_reducer,7.0,,2.0,3.6.0,,
70785449,19109,T0,question_reducer,3.0,2.0,4.0,3.6.0,,1.0
70785450,19109,T0,question_reducer,1.0,1.0,1.0,3.6.0,1.0,5.0
70785451,19109,T0,question_reducer,6.0,,1.0,3.6.0,2.0,1.0
70785452,19109,T0,question_reducer,5.0,2.0,2.0,3.6.0,1.0,
70785453,19109,T0,question_reducer,3.0,,7.0,3.6.0,,
70785454,19109,T0,question_reducer,7.0,1.0,2.0,3.6.0,,
70785455,19109,T0,question_reducer,2.0,,6.0,3.6.0,1.0,1.0
70785456,19109,T0,question_reducer,1.0,1.0,7.0,3.6.0,,1.0
70785457,19109,T0,question_reducer,2.0,1.0,7.0,3.6.0,,
70785458,19109,T0,question_reducer,5.0,,2.0,3.6.0,3.0,
70785459,19109,T0,question_reducer,7.0,,,3.6.0,1.0,2.0
70785460,19109,T0,question_reducer,2.0,2.0,5.0,3.6.0,1.0,
70785461,19109,T0,question_reducer,,1.0,,3.6.0,9.0,
70785462,19109,T0,question_reducer,5.0,1.0,3.0,3.6.0,,1.0
70785463,19109,T0,question_reducer,3.0,2.0,2.0,3.6.0,2.0,
70785464,19109,T0,question_reducer,7.0,,,3.6.0,3.0,
70785465,19109,T0,question_reducer,2.0,1.0,7.0,3.6.0,,
70785466,19109,T0,question_reducer,,1.0,4.0,3.6.0,2.0,3.0
70785467,19109,T0,question_reducer,5.0,2.0,,3.6.0,2.0,1.0
70785468,19109,T0,question_reducer,6.0,2.0,1.0,3.6.0,1.0,
70785469,19109,T0,question_reducer,3.0,2.0,3.0,3.6.0,2.0,
70785470,19109,T0,question_reducer,7.0,1.0,2.0,3.6.0,,
70785471,19109,T0,question_reducer,7.0,1.0,,3.6.0,1.0,
70785472,19109,T0,question_reducer,6.0,1.0,1.0,3.6.0,,1.0
70785473,19109,T0,question_reducer,8.0,2.0,,3.6.0,,
70785474,19109,T0,question_reducer,2.0,2.0,4.0,3.6.0,1.0,1.0
70785475,19109,T0,question_reducer,4.0,1.0,2.0,3.6.0,1.0,2.0
70785476,19109,T0,question_reducer,2.0,2.0,2.0,3.6.0,2.0,
70785477,19109,T0,question_reducer,5.0,1.0,2.0,3.6.0,,1.0
70785478,19109,T0,question_reducer,3.0,1.0,2.0,3.6.0,3.0,1.0
70785479,19109,T0,question_reducer,2.0,1.0,4.0,3.6.0,1.0,2.0
70785480,19109,T0,question_reducer,7.0,,2.0,3.6.0,1.0,
70785481,19109,T0,question_reducer,8.0,,2.0,3.6.0,,
70785482,19109,T0,question_reducer,7.0,1.0,2.0,3.6.0,,
70785483,19109,T0,question_reducer,8.0,,1.0,3.6.0,,
70785484,19109,T0,question_reducer,3.0,1.0,1.0,3.6.0,4.0,1.0
70785485,19109,T0,question_reducer,7.0,,1.0,3.6.0,1.0,1.0
70785486,19109,T0,question_reducer,1.0,,7.0,3.6.0,2.0,
70785487,19109,T0,question_reducer,3.0,1.0,5.0,3.6.0,1.0,
70785488,19109,T0,question_reducer,6.0,1.0,3.0,3.6.0,,
70785489,19109,T0,question_reducer,7.0,1.0,,3.6.0,1.0,1.0
70785490,19109,T0,question_reducer,5.0,1.0,3.0,3.6.0,,
70785491,19109,T0,question_reducer,6.0,1.0,,3.6.0,1.0,1.0
70785492,19109,T0,question_reducer,3.0,,2.0,3.6.0,4.0,
70785493,19109,T0,question_reducer,3.0,2.0,4.0,3.6.0,1.0,
70785494,19109,T0,question_reducer,1.0,,2.0,3.6.0,1.0,6.0
70785495,19109,T0,question_reducer,7.0,,2.0,3.6.0,,1.0
70785496,19109,T0,question_reducer,6.0,2.0,2.0,3.6.0,,
70785497,19109,T0,question_reducer,4.0,2.0,3.0,3.6.0,,
70785498,19109,T0,question_reducer,3.0,2.0,3.0,3.6.0,1.0,1.0
70785499,19109,T0,question_reducer,7.0,,2.0,3.6.0,,
70785500,19109,T0,question_reducer,6.0,1.0,,3.6.0,2.0,
70785501,19109,T0,question_reducer,3.0,,5.0,3.6.0,2.0,
70785502,19109,T0,question_reducer,6.0,,3.0,3.6.0,,1.0
70785503,19109,T0,question_reducer,8.0,,,3.6.0,,1.0
70785504,19109,T0,question_reducer,4.0,2.0,2.0,3.6.0,,1.0
70785505,19109,T0,question_reducer,7.0,,1.0,3.6.0,1.0,
70785506,19109,T0,question_reducer,3.0,1.0,5.0,3.6.0,,
70785507,19109,T0,question_reducer,5.0,1.0,3.0,3.6.0,,1.0
70785508,19109,T0,question_reducer,2.0,2.0,5.0,3.6.0,,
70785509,19109,T0,question_reducer,2.0,4.0,2.0,3.6.0,,2.0
70785510,19109,T0,question_reducer,1.0,,7.0,3.6.0,2.0,
70785511,19109,T0,question_reducer,2.0,,7.0,3.6.0,1.0,
70785512,19109,T0,question_reducer,5.0,1.0,2.0,3.6.0,2.0,
70785513,19109,T0,question_reducer,5.0,2.0,,3.6.0,3.0,
70785514,19109,T0,question_reducer,6.0,,3.0,3.6.0,1.0,
70785515,19109,T0,question_reducer,5.0,1.0,1.0,3.6.0,1.0,1.0
70785516,19109,T0,question_reducer,,2.0,1.0,3.6.0,1.0,5.0
70785517,19109,T0,question_reducer,3.0,1.0,5.0,3.6.0,1.0,
70785518,19109,T0,question_reducer,4.0,,3.0,3.6.0,3.0,
70785519,19109,T0,question_reducer,7.0,,1.0,3.6.0,2.0,
70785520,19109,T0,question_reducer,2.0,2.0,6.0,3.6.0,,
