user_name,n_class,user_id
RuBez,15,1626088.0
Utahraptor3,15,2155858.0
not-logged-in-5fa1a9bfd1184255bf85,15,
deinhaus,14,422531.0
ashkanbashiri,14,2406615.0
not-logged-in-4bf74b0026de0dcc827d,14,
not-logged-in-203606b02de1ca8a8225,14,
not-logged-in-54f15222ee91d40be426,14,
not-logged-in-99bda774f329f02fe075,14,
ChrisGambino,14,2437473.0
yuqingRen,14,2420549.0
ashj2003,14,2404051.0
not-logged-in-3fd63fdec5bdc31f644e,14,
jjohn9415,14,2437472.0
not-logged-in-cd39cee33451e41b630b,14,
04irenechan,13,2405953.0
not-logged-in-6ca2a438677ee4d61a97,13,
Wjtaylor,13,2434030.0
brinlong,13,335836.0
not-logged-in-dfa272147a35fa610c8c,13,
not-logged-in-24a729dea2e45d1f718f,13,
AAK072,12,2409346.0
Billoikonomoy3,12,2408719.0
SeabirdNZ,12,1630643.0
SHASHIKANTH1994,12,2410162.0
BlankAJ,12,2335349.0
Cava03,12,2412365.0
not-logged-in-bb28940cf8b7f3ffe311,12,
SireeshKondra,12,2435150.0
lucagrb,12,221319.0
not-logged-in-d20d6019362f633f8d00,12,
not-logged-in-9f48726692766d98da39,12,
not-logged-in-55e11a9f01a4a2bc6f0c,12,
not-logged-in-35f29617b4fa61e3f2b0,12,
fabiobr,12,1983855.0
olbo,12,620322.0
not-logged-in-1da3b37f9624a0541c3e,12,
picerx38,12,1870670.0
not-logged-in-9252d6a663a6c3c7111f,12,
hifloat,12,2426203.0
not-logged-in-83aa4c83616c5296d29c,12,
keeps2013,12,404108.0
not-logged-in-4ec55258434ad9e17e42,11,
not-logged-in-476e145f7d4ce6e47b22,11,
cowflip,11,2431307.0
fogelvogel,11,2381012.0
not-logged-in-7c4ceea3e05279340680,11,
not-logged-in-f2de48ca2d6cc6c37b55,11,
rcarey01,11,2412104.0
angel.meekins,11,2429811.0
not-logged-in-3d3be441f7e2f7d4f192,11,
marius_aga,11,1453797.0
alexandr-ketov,11,2346538.0
not-logged-in-0aa791f3a5deff264019,11,
HenriqueADuda,11,2419162.0
lpspieler,11,132.0
not-logged-in-06b3ebee1a449f580975,10,
Jackliu,10,2436981.0
not-logged-in-8460e7654d5a4c607001,10,
Llamaskywalker,10,2434245.0
Keplerman2.0,10,2430637.0
not-logged-in-d4c4699d9c3541ccc19e,10,
LifelessNight,10,2409321.0
rach37,10,1652455.0
katekevins,10,2411338.0
HomoNova,10,2407178.0
not-logged-in-429ece110828731183f6,10,
not-logged-in-4ede9394052a312e6d2b,10,
BreBreLan,10,1918967.0
jegmachine,10,2428690.0
rohty,10,1912970.0
MatthewVetkoetter,10,1523991.0
not-logged-in-b1308f968ac3465ce857,10,
decarlton04,10,2436901.0
Chrisbreezya,10,2357265.0
lakegeorge,10,1815386.0
not-logged-in-418fe752bc435be80c2c,9,
stella.fan,9,2235856.0
wischob,9,1944675.0
shocko61,9,3427.0
not-logged-in-0d1ab7b5498549a0887b,9,
philippe_bellavoine,9,1261005.0
purplerind,9,2240837.0
not-logged-in-c2fc6f037deb4d651a40,9,
not-logged-in-5c6bd6dbd560d0b67dd4,9,
not-logged-in-56fae4852a9e3ca346a2,9,
not-logged-in-c8067d277d9fa4cd2619,9,
not-logged-in-9dd5601aa9436d068bb6,9,
khaslag,9,939697.0
not-logged-in-143f904d284405d90300,9,
Armychick337,9,2424513.0
PrinceofEuropa,9,1548127.0
Marc4os,9,2424362.0
Maratello,9,1961557.0
Alacard12,9,1548071.0
cathcollins,9,418993.0
Morlicantha,9,2376622.0
NZCMeow,9,2268888.0
G.Astrobiologist,9,2416334.0
JosephBrom,9,2025771.0
akhakhalev,9,1949805.0
LonganXD,9,2408476.0
Rohitkr,8,2417161.0
not-logged-in-90a7fe45deff6143a8f3,8,
not-logged-in-b37137eb6d9212ecbe84,8,
Khushiarora2802,8,2148778.0
jiipee,8,646.0
ctmm122,8,2427356.0
PHobart,8,2421620.0
KamilaEstefania,8,2420169.0
FrankJakobsen,8,527747.0
not-logged-in-5bb73e55d5bcfb2e210b,8,
Zels,8,1045332.0
not-logged-in-e719d2f6950a46d1e2fc,8,
not-logged-in-4dcb53c2a63c18cb4cc4,8,
ThePizzaCat,8,2194163.0
not-logged-in-d70a9394126f1b18792a,8,
not-logged-in-9051230acf168b83af41,8,
camel11,8,456601.0
chris.ebert,7,2114809.0
not-logged-in-c07a485d20878f0673f6,7,
not-logged-in-a89171ca858bd1041357,7,
SKaur,7,2406436.0
not-logged-in-318c885b05a432c77399,7,
not-logged-in-4fd4609651e343005fb3,7,
not-logged-in-b7c19c4bf36518d458e7,7,
angelynt,7,2379442.0
rotemw,7,2427296.0
WEBs_in_space,7,35.0
FranciscoIzaguerri,7,1443623.0
not-logged-in-e1802a7a1bcccd737869,7,
not-logged-in-77cca37e488743d0c0b0,7,
tone_84,7,772472.0
epedwards,7,2425465.0
tenfyr,7,1497163.0
dbala,7,1054809.0
not-logged-in-80894c0dfe3848952ecd,7,
not-logged-in-e327cfefc87a1aaa7e1b,7,
BobbyV,7,1743502.0
Morgan24,7,2189904.0
Moize,7,2204390.0
not-logged-in-8e480e8d024d8d6d9871,7,
Jrmco,6,2433780.0
Ledfan,6,1864046.0
Yee_siew_Lim,6,2397977.0
not-logged-in-ec764caf77e6f0096a58,6,
not-logged-in-10bea231f9fe4317f0af,6,
not-logged-in-03ac69f1fbf0da4e878d,6,
not-logged-in-e9cd6864a60efd4bd221,6,
not-logged-in-dc8f549ddf42045bde6e,6,
FREEFLIERS,6,2287898.0
not-logged-in-371b7d1e5a689a6a391c,6,
not-logged-in-dc96f6b062241b954bfc,6,
FHAKM,6,1633138.0
Sovan,6,2410301.0
not-logged-in-30c9abcf0d5aee033830,6,
aussiegoodstuff,6,847893.0
saidrling,6,2418860.0
charlyy,6,2429371.0
gc4a,6,2406440.0
not-logged-in-8d2e24b95e8b9b0ec3cb,6,
rvvy2001,6,2429137.0
Blade_super,6,2415978.0
MariuszTarkawian,6,1968391.0
not-logged-in-bae96920bb4a173dcb8b,6,
Brejan,6,2023002.0
garyjacosta,6,362683.0
not-logged-in-6f0cde23112c4be5a90b,6,
101ae,6,2113809.0
kiarasmith310,6,2184598.0
kristofn,6,2428480.0
not-logged-in-8b59246f9635174a6043,5,
not-logged-in-747aea08f6ec07e26dba,5,
Tomohgao,5,2411504.0
not-logged-in-c8465c318df345440be7,5,
Naidgel,5,2310704.0
not-logged-in-7ad4ab25f5dec3beffb6,5,
not-logged-in-1e2825a3c8f6c92c9e10,5,
VictorLuiz.Brazil,5,2430168.0
not-logged-in-f32da5d77aaf64e15630,5,
not-logged-in-1361196070eb6b463128,5,
ImmortalLen,5,2334181.0
not-logged-in-9013d4a90886c8c7a09c,5,
not-logged-in-5ee4f4ef0bd94c94cf82,5,
not-logged-in-e570fddbeef9efd59100,5,
not-logged-in-9e9c0156089f06812a2a,5,
Shoaibullah,5,2327037.0
not-logged-in-a4063f6829c8e71f0d3b,5,
not-logged-in-59476911b1730a7dbca4,5,
RipunjayDeka,5,2432178.0
JustinFernandez,5,2288619.0
not-logged-in-b1397498e44e4c078653,5,
not-logged-in-b6e4c5ce34fcf9f93f94,5,
not-logged-in-dd37624be1179e3a9615,5,
RubenM0306,5,2410118.0
not-logged-in-3672e8f1d864ded220ef,5,
WRSunset,5,631935.0
not-logged-in-be14fa992c6771234e10,5,
not-logged-in-3e1da9856b3de7280b04,5,
not-logged-in-2aa626a9ab2e059264a5,5,
not-logged-in-7ff59b30a8fd3167d38d,5,
ashlynduncan,5,2437160.0
Delnika,5,2267016.0
pirxi,5,295997.0
anapizg,5,1763523.0
GregoriLana,5,2419355.0
not-logged-in-0820c1599560f77db410,5,
charl.cater,5,474057.0
leelaht,5,404505.0
chairgaf,5,209835.0
cdlee4711,5,2333505.0
jazztennis,5,2089093.0
ddtalaski,5,2431227.0
fpbhb,5,2077346.0
mdc7,5,2391749.0
not-logged-in-0a92385e32368052124e,5,
rajo,5,1509293.0
martini6959,5,2408544.0
Ksentel,4,2353785.0
not-logged-in-dd430c350153e977aa12,4,
TheEpicPrimius123,4,766769.0
Gepetto15,4,2415372.0
not-logged-in-a06bcb7f2ec44d9892e1,4,
not-logged-in-59ea5772b24c093d5b8f,4,
not-logged-in-30e3643bb14f4edb7cbe,4,
kileyskelton47,4,2435957.0
LittleWar,4,2427781.0
RasmusMohr,4,2181359.0
not-logged-in-54ffabd7935a2b521d0c,4,
laneyr,4,2412337.0
not-logged-in-4b210ed058ba3acb21bc,4,
Caio_Leonardo,4,2433335.0
CrazyCloud,4,1974341.0
not-logged-in-d1dfa562e9eea9aba73d,4,
progmatic,4,2428066.0
not-logged-in-9d8a5b52427497cf4478,4,
not-logged-in-be4569d376917f58d752,4,
ljbegley,4,2388348.0
Chilaya,4,2408158.0
SNunnelley,4,2394763.0
bowlandc,4,2416431.0
not-logged-in-bbb97a3debb54e51945c,4,
not-logged-in-bd165e7ed7892480f316,4,
not-logged-in-7c0985a1044bac874148,4,
not-logged-in-29263f61e8b14629a4d1,4,
not-logged-in-efb5eb73acf1b0b270ea,4,
equidad1,4,5209.0
Odeless,4,2420268.0
not-logged-in-19c982f3b389412ac056,4,
Volunteer_Sahithyaa,4,2240747.0
not-logged-in-1d546fd74a3c85b52ca4,4,
not-logged-in-92e733bcd2210efc9e2c,4,
